"Dating Makes Perfect","Dunn","Pintip","Banned pending investigation","The Tech sisters don’t date in high school. Not because they’re not asked. Not because they’re not interested. Not even because no one can pronounce their long, Thai last name—hence the shortened, awkward moniker. But simply because they’re not allowed.  Until now.  In a move that other Asian American girls know all too well, six months after the older Tech twins got to college, their parents asked, “Why aren’t you engaged yet?” The sisters retaliated by vowing that they won’t marry for ten (maybe even twenty!) years, not until they’ve had lots of the dating practice that they didn’t get in high school.  In a shocking war on the status quo, her parents now insist that their youngest daughter, Orrawin (aka “Winnie”), must practice fake dating in high school. Under their watchful eyes, of course—and organized based on their favorite rom-coms. ’Cause that won’t end in disaster.  The first candidate? The son of their longtime friends, Mat Songsomboon—arrogant, infuriating, and way too good-looking. Winnie’s known him since they were toddlers throwing sticky rice balls at each other. And her parents love him.  If only he weren’t her sworn enemy.","Romance, Young Adult, Contemporary, Young Adult Contemporary, Young Adult Romance, Enemies To Lovers, Fiction"
"Sons of Fortune","Archer","Jeffrey","Banned pending investigation","It is often spur-of-the-moment decisions, sometimes made by others, that can change our whole lives.  Bestselling author Jeffrey Archer returns with a powerful tale of twins separated by fate and reunited by destiny.  In the late 1940's in Hartford, Connecticut a set of twins is parted at birth. Nat Cartwright goes home with his parents, a schoolteacher and an insurance salesman. But his twin brother is to begin his days as Fletcher Andrew Davenport, the only son of a multi-millionaire and his society wife.  During the years that follow, the two brothers grow up unaware of each other's existence. Nat leaves college at the University of Connecticut to serve in Vietnam. He returns a war hero, finishes school and becomes a successful banker. Fletcher, meanwhile, has graduated from Yale University and distinguishes himself as a criminal defense lawyer before he is elected to the Senate.  Even when Nat and Fletcher fall in love with the same girl they still don't meet. They continue on their separate paths until one has to defend the other for a murder he did not commit. But the final confrontation comes when Nat and Fletcher are selected to stand against each other for governor of the state.  In the tradition of Jeffrey Archer's most popular books, is as much a chronicle of a nation in transition as it is the story of two remarkable men and how, eventually, they come to discover the truth - and its extraordinary consequences...","Fiction, Thriller, Historical Fiction, Drama, Mystery, Novels, Politics"
"The Beloved Wild","Ostrom","Melissa","Banned pending investigation","A debut YA American epic and historical adventure from Melissa Ostrom about striking out for your own destiny.  She's not the girl everyone expects her to be.  Harriet Winter is the eldest daughter in a farming family in New Hampshire, 1807. She is expected to help with her younger sisters. To pitch in with the cooking and cleaning. And to marry her neighbor, the farmer Daniel Long. Harriet’s mother sees Daniel as a good match, but Harriet doesn’t want someone else to choose her path—in love or in life.  When Harriet’s brother decides to strike out for the Genesee Valley in Western New York, Harriet decides to go with him—disguised as a boy. Their journey includes sickness, uninvited strangers, and difficult emotional terrain as Harriet sees more of the world, realizes what she wants, and accepts who she’s loved all along.","Historical Fiction, Young Adult, Historical, Fiction, Romance, Young Adult Historical Fiction, Teen"
"This is Not Forgiveness","Rees","Celia","Banned pending investigation","Everyone says that Caro is bad ...but Jamie can't help himself. He thinks of her night and day and can't believe that she wants to be his girlfriend. Gorgeous, impulsive and unconventional, she is totally different to all the other girls he knows. His sister, Martha, hates her. Jamie doesn't know why, but there's no way he's going to take any notice of her warnings to stay away from Caro. But as Jamie falls deeper and deeper under her spell, he realises there is more to Caro - much more. There are the times when she disappears and doesn't get in touch, the small scars on her wrists, her talk about revolutions and taking action, not to mention the rumours he hears about the other men in her life. And then always in the background there is Rob, Jamie's older brother, back from Afghanistan and traumatised after having his leg smashed to bits there. Jamie wants to help him, but Rob seems to be living in a world of his own and is increasingly difficult to reach. With Caro, the summer should have been perfect ...but that isn't how things work out in real life, and Jamie is going to find out the hard way. This taut psychological drama is the brilliant new novel from acclaimed Celia Rees.  Watch the official trailer for","Young Adult, Contemporary, Romance, Mystery, Realistic Fiction, Drama, Fiction"
"The Never Tilting World","Chupeco","Rin","Banned pending investigation","Frozen meets Mad Max in this epic teen fantasy duology bursting with star-crossed romance, immortal heroines, and elemental magic, perfect for fans of Furyborn.  Generations of twin goddesses have long ruled Aeon. But seventeen years ago, one sister’s betrayal defied an ancient prophecy and split their world in two. The planet ceased to spin, and a Great Abyss now divides two realms: one cloaked in perpetual night, the other scorched by an unrelenting sun.  While one sister rules Aranth—a frozen city surrounded by a storm-wracked sea —her twin inhabits the sand-locked Golden City. Each goddess has raised a daughter, and each keeps her own secrets about her sister’s betrayal.  But when shadowy forces begin to call their daughters, Odessa and Haidee, back to the site of the Breaking, the two young goddesses —along with a powerful healer from Aranth, and a mouthy desert scavenger —set out on separate journeys across treacherous wastelands, desperate to heal their broken world. No matter the sacrifice it demands.","Fantasy, Young Adult, LGBT, Romance, Young Adult Fantasy, Lesbian, Fiction"
"The Realm of Possibility","Levithan","David","Banned pending investigation","One school. Twenty voices.  Endless possibilities.  There's the girl who is in love with Holden Caulfield. The boy who wants to be strong who falls for the girl who's convinced she needs to be weak. The girl who writes love songs for a girl she can't have. The two boys teetering on the brink of their first anniversary. And everyone in between.  As he did in the highly acclaimed , David Levithan gives us a world of unforgettable voices that readers will want to visit again and again. It's the realm of possibility open to us all - where love, joy, and the stories we tell will linger.","Young Adult, Poetry, LGBT, Fiction, Contemporary, Romance, Queer"
"The Way We Never Were: American Families and the Nostalgia Trap","Coontz","Stephanie","Banned by restriction","The Way We Never Were examines two centuries of American family life and shatters a series of myths and half-truths that burden modern families. Placing current family dilemmas in the context of far-reaching economic, political, and demographic changes, Coontz sheds new light on such contemporary concerns as parenting, privacy, love, the division of labor along gender lines, the black family, feminism, and sexual practice.","History, Nonfiction, Sociology, Feminism, Politics, American History, Historical"
"An Echo in the Bone","Gabaldon","Diana","Banned pending investigation","The seventh volume in bestselling author Diana Gabaldon’s epic Outlander saga is a masterpiece of historical fiction featuring Jamie and Claire, from one of the genre’s most popular and beloved authors.  Jamie Fraser, erstwhile Jacobite and reluctant rebel, knows three things about the American rebellion: the Americans will win, unlikely as that seems in 1778; being on the winning side is no guarantee of survival; and he’d rather die than face his illegitimate son — a young lieutenant in the British Army — across the barrel of a gun. Fraser’s time-travelling wife, Claire, also knows a couple of things: that the Americans will win, but that the ultimate price of victory is a mystery. What she does believe is that the price won’t include Jamie’s life or happiness — not if she has anything to say.  Claire’s grown daughter Brianna, and her husband, Roger, watch the unfolding of Brianna’s parents’ history — a past that may be sneaking up behind their own family.","Historical Fiction, Romance, Fantasy, Fiction, Time Travel, Historical, Historical Romance"
"Skeleton Crew","King","Stephen","Banned","Librarian's Note: Alternate-cover edition for ISBN 0751504386  In a bumper collection of truly chilling tales, we meet Gramma - who only wanted to hug little George, even after she was dead; The Raft - a primeval sea creature with an insatiable appetite; The Monkey - an innocent-looking toy with sinister powers; the unspeakable horror of The Mist. And there is a gruesome host of other stories, each with the distinctive blend of unimaginable terror and realism that typifies King's writing.","Horror, Short Stories, Fiction, Fantasy, Thriller, Anthologies, Audiobook"
"The Project","Summers","Courtney","Banned pending investigation","The #1 Indie Next Pick and winner of the International Thriller Writers Award now in paperback with an exclusive bonus chapter.  BELIEVE HIM, BETRAY HER  1998: Six-year-old Bea doesn’t want a sister but everything changes when Lo is born early. Small and frail, Lo needs someone to look out for her. Having a sister is a promise, Mom says—one Bea’s determined not to break.  2011: A car wreck, their parents dead. Lo would’ve died too if not for Lev Warren, the charismatic leader of The Unity Project. He’s going to change the world and after he saves Lo’s life, Bea wants to commit to his extraordinary calling. Lev promises a place for the girls in the project, where no harm will ever come to them again . . . if Bea proves herself to him first.  2017: Lo doesn’t know why Bea abandoned her for The Unity Project after the accident, but she never forgot what Bea said the last time they spoke: We’ll see each other again. Six years later, Lo is invited to witness the group’s workings, meet with Lev, and—she hopes—finally reconnect with her sister. But Bea is long gone, and the only one who seems to understand the depths of this betrayal is Lev. If it’s family Lo wants, he can make her a new promise . . . if she proves herself to him first.  Powerful, suspenseful and heartbreaking, The Project follows two sisters who fall prey to the same cult leader—and their desperate fight back to one another.  Available now: I'M THE GIRL, the new ""brutally captivating"" (Publishers Weekly, starred review) queer thriller from Courtney Summers, based loosely on The Epstein case and ""not for the faint of heart"" (The New York Times)","Young Adult, Thriller, Mystery, Contemporary, Mystery Thriller, Fiction, Audiobook"
"The Black Dahlia","Ellroy","James","Banned","On January 15, 1947, the torture-ravished body of a beautiful young woman is found in a vacant lot. The victim makes headlines as the Black Dahlia—and so begins the greatest manhunt in California history. Caught up in the investigation are Bucky Bleichert and Lee Blanchard: Warrants Squad cops, friends, and rivals in love with the same woman. But both are obsessed with the Dahlia—driven by dark needs to know everything about her past, to capture her killer, to possess the woman even in death. Their quest will take them on a hellish journey through the underbelly of postwar Hollywood, to the core of the dead girl's twisted life, past the extremes of their own psyches—into a region of total madness.","Mystery, Fiction, Crime, Noir, Historical Fiction, True Crime, Thriller"
"Anatomy of a Single Girl","Snadowsky","Daria","Banned pending investigation","""Curious teens will find Snadowsky's honesty refreshing, and like [Judy Blume's] Forever before it, this [book] is sure to be passed from hand to hand.""-- Booklist  After everything that happened—my first boyfriend, my first time, my first breakup—jumping back into the dating game seemed like the least healthy thing I could do. It’s not that I didn’t  want  to fall in love again, since that’s about the best feeling ever. But as a busy college premed still raw from heartbreak, which is the  worst  feeling ever, I figured I’d lie low for a while. Of course, as soon as I stopped looking for someone, an impossibly amazing—and devastatingly cute—guy came along, and I learned that having a new boyfriend is the quickest way to recover from losing your old one.      The moment we got together, all my preconceptions about romance and sex were turned upside down. I discovered physical and emotional firsts I never knew existed. I learned to let go of my past by living in the present. It was thrilling. It was  hot . It was just what the doctor ordered.      But I couldn’t avoid my future forever.      In Daria Snadowsky’s daring sequel to  Anatomy of a Boyfriend , eighteen-year-old Dominique explores the relationship between love and lust, and the friendships that see us through.  ""Dominique is a strong female character who makes informed decisions and demonstrates control over her own body and goals. . . . This book could be popular with girls who are curious and interested in reading about intimate young adult relationships.""-- VOYA  ""Presents a multiplicity of opinions and stories about sex, intimacy and relationships and lets readers come to their own conclusions.""-- Kirkus Reviews","Young Adult, Romance, New Adult, Contemporary, Realistic Fiction, Fiction, Young Adult Contemporary"
"Things in Jars","Kidd","Jess","Banned pending investigation","Bridie Devine, female detective extraordinaire, is confronted with the most baffling puzzle yet: the kidnapping of Christabel Berwick, secret daughter of Sir Edmund Athelstan Berwick, and a peculiar child whose reputed supernatural powers have captured the unwanted attention of collectors trading curiosities in this age of discovery.  Winding her way through the labyrinthine, sooty streets of Victorian London, Bridie won’t rest until she finds the young girl, even if it means unearthing a past that she’d rather keep buried. Luckily, her search is aided by an enchanting cast of characters, including a seven-foot tall housemaid; a melancholic, tattoo-covered ghost; and an avuncular apothecary. But secrets abound in this foggy underworld where spectacle is king and nothing is quite what it seems.  Blending darkness and light, history and folklore, Things in Jars is a spellbinding Gothic mystery that collapses the boundary between fact and fairy tale to stunning effect and explores what it means to be human in inhumane times.","Historical Fiction, Fantasy, Mystery, Fiction, Magical Realism, Historical, Gothic"
"They Wish They Were Us","Goodman","Jessica","Banned","A murder mystery set against the backdrop of an exclusive prep school on Long Island.  In Gold Coast, Long Island, everything from the expensive downtown shops to the manicured beaches, to the pressed uniforms of Jill Newman and her friends, looks perfect. But as Jill found out three years ago, nothing is as it seems.  Freshman year Jill's best friend, the brilliant, dazzling Shaila Arnold, was killed by her boyfriend. After that dark night on the beach, Graham confessed, the case was closed, and Jill tried to move on.  Now, it's Jill's senior year and she's determined to make it her best yet. After all, she's a senior a Player--a member of Gold Coast Prep's exclusive, not-so-secret secret society. Senior Players have the best parties, highest grades and the admiration of the entire school. This is going to be Jill's year. She's sure of it.  But when Jill starts getting texts proclaiming Graham's innocence, her dreams of the perfect senior year start to crumble. If Graham didn't kill Shaila, who did? Jill vows to find out, but digging deeper could mean putting her friendships, and her future, in jeopardy.","Mystery, Young Adult, Thriller, Mystery Thriller, Contemporary, Fiction, Audiobook"
"Lucky Penny","Hirsh","Ananth","Banned pending investigation","If Penny Brighton didn't have bad luck, she'd have no luck at all. She lost her job. And her apartment. In the same day. But it's okay, her friend has a cozy storage unit she can crash in. And there's bound to be career opportunities at the neighborhood laundromat— just look how fast that 12-year-old who runs the place made it to management! Plus, there's this sweet guy at the community center, and maybe Penny can even have a conversation with him without being a total dork. Surely Penny is a capable of becoming an actual responsible adult, and if she can do that her luck’s bound to change! Right?","Graphic Novels, Romance, Young Adult, Humor, Fiction, Graphic Novels Comics, Contemporary"
"Queen of the Damned","Rice","Anne","Banned","Librarian's note: An alternate cover edition can be found here  In 1976, a uniquely seductive world of vampires was unveiled in the now-classic Interview with the Vampire . . . in 1985, a wild and voluptous voice spoke to us, telling the story of The Vampire Lestat.  In The Queen of the Damned, Anne Rice continues her extraordinary ""Vampire Chronicles"" in a feat of mesmeric storytelling, a chillingly hypnotic entertainment in which the oldest and most powerful forces of the night are unleashed on an unsuspecting world.  Three brilliantly colored narrative threads intertwine as the story unfolds:  - The rock star known as Vampire Lestat, worshipped by millions of spellbound fans, prepares for a concert in San Francisco.  Among the audience--pilgrims in a blind swoon of adoration--are hundreds of vampires, creatures who see Lestat as a ""greedy fiend risking the secret prosperity of all his kind just to be loved and seen by mortals,"" fiends themselves who hate Lestat's power and who are determined to destroy him . . .  - The sleep of certain men and women--vampires mortals scattered around the world--is haunted by a vivid, mysterious dream: of twins with fiery red hair and piercing green eyes who suffer an unspeakable tragedy.  It is a dream that slowly, tauntingly reveals its meaning to the dreamers as they make their way toward each other--some to be destroyed on the journey, some to face an even more terrifying fate at journey's end . . .  - Akasha--Queen of the Damned, mother of all vampires, rises after a 6,000 year sleep and puts into motion a heinous plan to ""save"" mankind from itself and make ""all myths of the world real"" by elevating herself and her chosen son/lover to the level of the gods: ""I am the fulfillment and I shall from this moment be the cause"" . . .  These narrative threads wind sinuously across a vast, richly detailed tapestry of the violent, sensual world of vampirism, taking us back 6,000 years to its beginnings.  As the stories of the ""first brood"" of blood drinkers are revealed, we are swept across the ages, from Egypt to South America to the Himalayas to all the shrouded corners of the globe where vampires have left their mark. Vampires are created--mortals succumbing to the sensation of ""being emptied, of being devoured, of being nothing."" Vampires are destroyed.  Dark rituals are performed--the rituals of ancient creatures prowling the modern world.  And, finally, we are brought to a moment in the twentieth century when, in an astonishing climax, the fate of the living dead--and perhaps of the living, all the living--will be decided.","Horror, Fantasy, Vampires, Fiction, Paranormal, Supernatural, Urban Fantasy"
"Syphilis and Other Sexually Transmitted Diseases","Cefrey","Holly","Banned pending investigation","Describes different kinds of sexually transmitted diseases, including gonorrhea, syphilis, herpes, and AIDS, explaining how they are transmitted, how they manifest themselves, and how they can be avoided or treated",""
"Home After Dark","Small","David","Banned","Thirteen-year-old Russell Pruitt, abandoned by his mother, follows his father to sun-splashed California in search of a dream. Suddenly forced to fend for himself, Russell struggles to survive in Marshfield, a dilapidated town haunted by a sadistic animal killer and a ring of malicious boys who bully Russell for being “queer.” Rescued from his booze-swilling father by Wen and Jian Mah, a Chinese immigrant couple who long for a child, Russell betrays their generosity by running away with their restaurant’s proceeds.","Graphic Novels, Comics, Fiction, Young Adult, Coming Of Age, Historical Fiction, Graphic Novels Comics"
"The Perks of Being a Wallflower","Chbosky","Stephen","Banned pending investigation","standing on the fringes of life... offers a unique perspective. But there comes a time to see what it looks like from the dance floor.  This haunting novel about the dilemma of passivity vs. passion marks the stunning debut of a provocative new voice in contemporary fiction: The Perks of Being A WALLFLOWER  This is the story of what it's like to grow up in high school. More intimate than a diary, Charlie's letters are singular and unique, hilarious and devastating. We may not know where he lives. We may not know to whom he is writing. All we know is the world he shares. Caught between trying to live his life and trying to run from it puts him on a strange course through uncharted territory. The world of first dates and mixed tapes, family dramas and new friends. The world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that the perfect song on that perfect drive to feel infinite.  Through Charlie, Stephen Chbosky has created a deeply affecting coming-of-age story, a powerful novel that will spirit you back to those wild and poignant roller coaster days known as growing up.  (back cover)","Young Adult, Fiction, Classics, Coming Of Age, Romance, Mental Health, Realistic Fiction"
"See You at Harry's","Knowles","Jo","Banned","Starting middle school brings all the usual challenges - until the unthinkable happens, and Fern and her family must find a way to heal. Twelve-year-old Fern feels invisible. Her dad is always busy planning how to increase traffic to the family business. Her Mom is constantly going off to meditate. Her sister Sarah, who's taking a ""gap year"" after high school, is too busy finding ways not to work; and her brother Holden is too focused on his new ""friend"" to pay attention to her. And then there's three years old, a ""surprise"" baby, and  the center of everyone's world.  If it wasn't for Ran, Fern's best and oldest friend, there would be nowhere to turn. Ran is always calm, always positive. His mantra ""All will be well"" is soothing in a way that nothing else seems to be. And when Ran says it, Fern can almost believe.  But when their lives are unexpectedly turned upside down, Fern feels more alone than ever, and responsible for the event that wrenches the family apart. All will not be well. Or at least, all will never be the same.","Young Adult, Realistic Fiction, Middle Grade, Contemporary, Fiction, Family, Death"
"The World's Strongest Librarian: A Book Lover's Adventures","Hanagarne","Joshua","Banned by restriction","A funny and uplifting story of how a Mormon kid with Tourette’s found salvation in books and weight lifting   Josh Hanagarne couldn’t be invisible if he tried. Although he wouldn't officially be diagnosed with Tourette Syndrome until his freshman year of high school, Josh was six years old when he first began exhibiting symptoms. When he was twenty and had reached his towering height of 6’7”, his tics escalated to nightmarish levels. Determined to conquer his affliction, Josh tried countless remedies, with dismal results. At last, an eccentric, autistic strongman taught Josh how to “throttle” his tics into submission using increasingly elaborate feats of strength. What started as a hobby became an entire way of life—and an effective way of managing his disorder.  Today, Josh is a librarian at Salt Lake City’s public library and founder of a popular blog about books and weight lifting—and the proud father of five-year-old Max. Funny and offbeat, traces this unlikely hero as he attempts to overcome his disability, find love, and create a life worth living.","Nonfiction, Memoir, Biography, Books About Books, Biography Memoir, Audiobook, Humor"
